,batch,epoch,sample,weight,HR,NDCG,ARP,PCC,SCC_score,SCC_rank,upo,mean,skew
0,2048,0,none,1.0,0.5432932080838023,0.3190244293255629,16990.42715231788,0.8689739344553625,0.9831910098157319,-0.9731895721053411,0.974,0.01249320508123975,9.656397874151864
1,2048,1,none,1.0,0.6128247240971819,0.3715913799045462,16136.468377483443,0.8032378537929759,0.9765767457580373,-0.9597289105707161,0.909,0.030761696698411844,4.247180607297624
2,2048,2,none,1.0,0.650855248663048,0.4021337081939394,15377.059437086093,0.7421203020193716,0.9662097870542604,-0.9465315477481829,0.838,0.05155698299129701,3.023884030190097
3,2048,3,none,1.0,0.6754711879343842,0.4226627172896805,14818.08427152318,0.7006112919223286,0.9581169073079954,-0.9402662872960557,0.783,0.0668906872475321,2.5717139872828674
4,2048,4,none,1.0,0.6935175356019789,0.4378269652669737,14431.66688741722,0.669653735776975,0.9519197574847976,-0.9354890975340777,0.743,0.08055991673507878,2.438966835576071
5,2048,5,none,1.0,0.7033068279688345,0.44839182375126907,14099.713907284768,0.6421496249651538,0.9470675222345959,-0.9321813148908291,0.71,0.09854160670284313,2.259486399391799
6,2048,6,none,1.0,0.7112834738718529,0.45613268249251915,13900.219370860927,0.6267049767169457,0.9415775062750267,-0.9272482183105494,0.688,0.10913985767387696,2.098408648681766
7,2048,7,none,1.0,0.7179582189997397,0.46212614927733126,13692.908278145695,0.6124865415528564,0.9369512706542295,-0.9236368146819769,0.667,0.11685194835392049,2.0131024397929385
8,2048,8,none,1.0,0.7237066116530134,0.467541437801798,13526.595695364238,0.6010842167155033,0.9338645176505346,-0.9214345515173821,0.65,0.12562384464834517,1.926406699885999
9,2048,9,none,1.0,0.7269263124161276,0.47068452308139735,13400.422185430463,0.5907226076214341,0.9308241116297912,-0.9190642751176392,0.636,0.13192467803787788,1.8828624732584165
10,2048,10,none,1.0,0.7297554429467021,0.47409347214738345,13282.671523178808,0.5807085011957034,0.9297530913806868,-0.9172139224552901,0.624,0.14094904160823968,1.7539434055412355
11,2048,11,none,1.0,0.7314779578184148,0.4758585472949253,13212.572185430463,0.5759670195416982,0.9276469247127292,-0.9160762462069841,0.614,0.14591550136120632,1.7188978782244788
12,2048,12,none,1.0,0.7327398001081579,0.47750319556156917,13073.643543046357,0.5654634902667116,0.9257719674476638,-0.9135879302735328,0.603,0.15671487935780334,1.6351399530437998
13,2048,13,none,1.0,0.7335359625052577,0.47867648490640347,13025.350993377484,0.561661167636698,0.923471628714942,-0.9107558769104747,0.596,0.1579420422580539,1.6595500323471093
14,2048,14,none,1.0,0.7340166643299216,0.4787600189105916,12995.488741721854,0.5587289046408209,0.9220888247364183,-0.909614396711133,0.59,0.16171586558939,1.6156393905303312
15,2048,15,none,1.0,0.7333206481462936,0.4783746555576413,12921.145033112583,0.5542485751894421,0.9222540235217263,-0.910023379850691,0.583,0.1661274164293223,1.5766427243231085
16,2048,16,none,1.0,0.7320037254391412,0.4776906223417962,12817.312582781457,0.5462027973651894,0.9196152917047429,-0.9077809372734068,0.574,0.17283816426806328,1.5271128599506396
17,2048,17,none,1.0,0.7300759108298115,0.47664373590380504,12766.049337748344,0.5419001161899254,0.9188904734001677,-0.9066799984507252,0.569,0.17746855280355778,1.496206326420742
18,2048,18,none,1.0,0.7292897630540589,0.47586542416924926,12730.951490066225,0.5401955480953636,0.9197653715663969,-0.9081704689268526,0.565,0.180960933776917,1.4587906585098418
19,2048,19,none,1.0,0.729419953131572,0.4750094769425119,12692.248509933775,0.5363466312160992,0.9194764293244686,-0.907905695016251,0.559,0.18591428062051837,1.4373025266444142
20,2048,-1,none,1.0,0.7288391050934364,0.47555177741407395,12753.706622516556,0.5397532849135941,0.9182508724015711,-0.910999409792163,0.563,0.1810869256639784,1.4151651373880574
