,batch,epoch,sample,weight,HR,NDCG,ARP,PCC,SCC_score,SCC_rank,upo,mean,skew
0,2048,0,posneg,0.9,0.6028802050994452,0.36759855351014237,15335.406953642385,0.7120515641160813,0.9527195304783086,-0.9503320819531907,0.891,0.08254060750206746,1.998865344132168
1,2048,1,posneg,0.9,0.6617561639994392,0.41238234658858425,14027.21440397351,0.6266041604570795,0.9597604461957178,-0.9558946378270817,0.784,0.16227229713549474,1.1217211026789755
2,2048,2,posneg,0.9,0.693046848398662,0.4368016448882768,13366.880794701987,0.5788868855195555,0.9598736808210732,-0.9544302188012174,0.722,0.21150735933006434,0.8062670634418498
3,2048,3,posneg,0.9,0.7108528451539248,0.4510739943589695,12960.4380794702,0.5509069939516348,0.9587968412750196,-0.9532893137508233,0.676,0.2504121867943117,0.6762691958135707
4,2048,4,posneg,0.9,0.7219039798105233,0.46015748329398987,12663.158609271522,0.5319835013762383,0.95716094884858,-0.9506599507160883,0.643,0.2787656147869103,0.5503471439206334
5,2048,5,posneg,0.9,0.7291545656658722,0.4655592320671254,12503.582781456953,0.5198071195724848,0.9555994063330394,-0.948574660480423,0.618,0.2993522258583773,0.4799594689369482
6,2048,6,posneg,0.9,0.7327047489334428,0.4671297187057678,12346.260927152318,0.5082930953397401,0.9536877927698877,-0.946414738761521,0.6,0.31728148340149975,0.4494762333872303
7,2048,7,posneg,0.9,0.7343671760770726,0.46709218470345454,12224.123013245033,0.49920048316133164,0.9506497396011002,-0.9437299043908349,0.585,0.32609341952606863,0.41357377545888546
8,2048,8,posneg,0.9,0.732834939010956,0.4655637436515591,12173.680794701986,0.4940586643303814,0.9498763738424829,-0.9428966741866847,0.577,0.3362202750743015,0.39529838070432155
9,2048,9,posneg,0.9,0.7316582210026639,0.4634203920296509,12080.829635761589,0.4867236828601901,0.9475387988153016,-0.9401055171989965,0.567,0.3433039998325622,0.3672294175869344
10,2048,10,posneg,0.9,0.7281330742884612,0.4609995687826775,12032.613741721854,0.48025750369642795,0.9441785316489745,-0.937644923207921,0.561,0.34827431600084263,0.33781951677565564
11,2048,11,posneg,0.9,0.7272868387846255,0.4591739523492643,11999.128145695364,0.47696426008647524,0.9426385449622965,-0.93642880613203,0.556,0.3545363006708868,0.32998125305926607
12,2048,12,posneg,0.9,0.7253189656899073,0.4567287938855889,11870.386092715231,0.46800795754257474,0.9409403234891939,-0.9353319011151979,0.545,0.36098123980612173,0.2998992701022059
13,2048,13,posneg,0.9,0.7241071965069,0.4550499391572422,11869.726490066225,0.4665702038368012,0.9398546982283741,-0.9346062454366311,0.544,0.3641232175749567,0.2995165100779631
14,2048,14,posneg,0.9,0.7226400544795402,0.4532185315757586,11815.660430463577,0.462155090984994,0.9388905475838152,-0.933930295626948,0.539,0.37146910434243924,0.26392287835288447
15,2048,15,posneg,0.9,0.7211979490055481,0.4519811807006611,11799.724337748345,0.46023187839267166,0.9373355766029449,-0.933079960040894,0.537,0.3714716581309265,0.2625695357656468
16,2048,16,posneg,0.9,0.7200612894826447,0.450303120104522,11773.566390728476,0.4560511512114417,0.935608860611029,-0.9322790791475096,0.534,0.37313440599232506,0.25661269776470025
17,2048,17,posneg,0.9,0.7191099004546638,0.4488625403792583,11676.692218543047,0.4512274398661199,0.9351486348945632,-0.9318044857075932,0.529,0.3777455707249711,0.25686211919719654
18,2048,18,posneg,0.9,0.7178480581649208,0.44811066270386857,11681.95132450331,0.45183388414602466,0.9356799904875152,-0.9326136852254072,0.528,0.3779273895990326,0.23761902588751344
19,2048,19,posneg,0.9,0.7179031385823302,0.4484867785673527,11653.379801324503,0.44993123211417707,0.9350831715826482,-0.9321077958662827,0.526,0.37920363850106864,0.24957056156564048
20,2048,-1,posneg,0.9,0.7180333286598434,0.44955740995411725,11678.10165562914,0.4499388701640242,0.9342214385970559,-0.933154876205914,0.525,0.38311478944238986,0.22469716038475535
